A1:383 , A2:349 , A3:366 , A4:239 , A5:129 , height_photoresistor:7, ultrasonic:-3.52

A1:381 , A2:349 , A3:363 , A4:237 , A5:130 , height_photoresistor:7, ultrasonic:-3.64

A1:383 , A2:351 , A3:366 , A4:238 , A5:130 , height_photoresistor:7, ultrasonic:-3.68

A1:383 , A2:349 , A3:366 , A4:239 , A5:129 , height_photoresistor:7, ultrasonic:-3.10

A1:382 , A2:348 , A3:364 , A4:238 , A5:130 , height_photoresistor:7, ultrasonic:-3.70

A1:382 , A2:350 , A3:365 , A4:238 , A5:129 , height_photoresistor:7, ultrasonic:-3.20

A1:382 , A2:349 , A3:366 , A4:239 , A5:130 , height_photoresistor:7, ultrasonic:-3.10

A1:381 , A2:349 , A3:364 , A4:238 , A5:129 , height_photoresistor:7, ultrasonic:-3.51

A1:381 , A2:349 , A3:365 , A4:238 , A5:129 , height_photoresistor:7, ultrasonic:-3.27

A1:302 , A2:344 , A3:366 , A4:239 , A5:129 , height_photoresistor:7, ultrasonic:-3.68

A1:275 , A2:269 , A3:361 , A4:239 , A5:129 , height_photoresistor:1, ultrasonic:-3.54

A1:252 , A2:253 , A3:359 , A4:239 , A5:129 , height_photoresistor:1, ultrasonic:-2.68

A1:221 , A2:253 , A3:362 , A4:240 , A5:130 , height_photoresistor:1, ultrasonic:-3.25

A1:213 , A2:253 , A3:361 , A4:238 , A5:129 , height_photoresistor:1, ultrasonic:-3.23

A1:207 , A2:246 , A3:359 , A4:239 , A5:129 , height_photoresistor:1, ultrasonic:-2.24

A1:203 , A2:243 , A3:358 , A4:240 , A5:130 , height_photoresistor:1, ultrasonic:-2.80

A1:202 , A2:243 , A3:358 , A4:239 , A5:129 , height_photoresistor:1, ultrasonic:-3.27

A1:218 , A2:246 , A3:358 , A4:239 , A5:129 , height_photoresistor:1, ultrasonic:-2.27

A1:281 , A2:327 , A3:363 , A4:238 , A5:129 , height_photoresistor:1, ultrasonic:-3.64

A1:379 , A2:345 , A3:365 , A4:239 , A5:129 , height_photoresistor:7, ultrasonic:-3.66

A1:381 , A2:348 , A3:364 , A4:238 , A5:129 , height_photoresistor:7, ultrasonic:-3.54

A1:382 , A2:348 , A3:365 , A4:239 , A5:129 , height_photoresistor:7, ultrasonic:-3.54

A1:379 , A2:348 , A3:365 , A4:239 , A5:129 , height_photoresistor:7, ultrasonic:-3.25

A1:381 , A2:348 , A3:364 , A4:238 , A5:129 , height_photoresistor:7, ultrasonic:-3.27

A1:381 , A2:349 , A3:366 , A4:239 , A5:129 , height_photoresistor:7, ultrasonic:-3.68

A1:379 , A2:348 , A3:364 , A4:239 , A5:130 , height_photoresistor:7, ultrasonic:-3.52

A1:374 , A2:348 , A3:364 , A4:237 , A5:129 , height_photoresistor:7, ultrasonic:-3.66

A1:343 , A2:347 , A3:366 , A4:238 , A5:129 , height_photoresistor:7, ultrasonic:-3.20

A1:323 , A2:342 , A3:365 , A4:240 , A5:130 , height_photoresistor:7, ultrasonic:-3.54

A1:311 , A2:323 , A3:364 , A4:239 , A5:129 , height_photoresistor:7, ultrasonic:-3.54

A1:302 , A2:277 , A3:361 , A4:238 , A5:128 , height_photoresistor:7, ultrasonic:-3.68

A1:296 , A2:257 , A3:351 , A4:235 , A5:127 , height_photoresistor:7, ultrasonic:-3.23

A1:277 , A2:245 , A3:297 , A4:227 , A5:126 , height_photoresistor:1, ultrasonic:-3.10

A1:263 , A2:232 , A3:278 , A4:222 , A5:123 , height_photoresistor:1, ultrasonic:-2.65

A1:250 , A2:214 , A3:262 , A4:214 , A5:120 , height_photoresistor:1, ultrasonic:-3.27

A1:263 , A2:197 , A3:247 , A4:193 , A5:118 , height_photoresistor:1, ultrasonic:-1.07

A1:260 , A2:192 , A3:239 , A4:177 , A5:114 , height_photoresistor:1, ultrasonic:-2.22

A1:242 , A2:181 , A3:236 , A4:169 , A5:113 , height_photoresistor:1, ultrasonic:-3.18

A1:254 , A2:176 , A3:225 , A4:153 , A5:111 , height_photoresistor:7, ultrasonic:-4.06

A1:272 , A2:174 , A3:213 , A4:139 , A5:110 , height_photoresistor:7, ultrasonic:-9.80

A1:283 , A2:171 , A3:209 , A4:127 , A5:107 , height_photoresistor:11, ultrasonic:-6.41

A1:284 , A2:169 , A3:205 , A4:124 , A5:104 , height_photoresistor:11, ultrasonic:-4.38

A1:253 , A2:154 , A3:208 , A4:128 , A5:104 , height_photoresistor:11, ultrasonic:6.99

A1:248 , A2:151 , A3:212 , A4:128 , A5:102 , height_photoresistor:11, ultrasonic:-7.74

A1:247 , A2:148 , A3:207 , A4:127 , A5:100 , height_photoresistor:11, ultrasonic:8.22

A1:257 , A2:148 , A3:203 , A4:126 , A5:99 , height_photoresistor:11, ultrasonic:-3.49

A1:251 , A2:147 , A3:202 , A4:128 , A5:97 , height_photoresistor:11, ultrasonic:-1.52

A1:234 , A2:138 , A3:196 , A4:132 , A5:98 , height_photoresistor:11, ultrasonic:-1.55

A1:229 , A2:131 , A3:184 , A4:141 , A5:94 , height_photoresistor:11, ultrasonic:-3.20

A1:228 , A2:127 , A3:176 , A4:137 , A5:93 , height_photoresistor:11, ultrasonic:-5.50

