GPRS disabled. running localy

A1:377 , A2:276 , A3:281 , A4:172 , A5:51 , height_photoresistor:11, ultrasonic:-9.34

A1:376 , A2:276 , A3:281 , A4:171 , A5:50 , height_photoresistor:11, ultrasonic:-10.45

A1:377 , A2:277 , A3:281 , A4:173 , A5:50 , height_photoresistor:11, ultrasonic:-9.20

A1:379 , A2:277 , A3:281 , A4:173 , A5:51 , height_photoresistor:11, ultrasonic:-9.24

A1:376 , A2:275 , A3:281 , A4:172 , A5:52 , height_photoresistor:11, ultrasonic:-9.20

A1:377 , A2:277 , A3:281 , A4:172 , A5:51 , height_photoresistor:11, ultrasonic:-10.06

A1:379 , A2:277 , A3:283 , A4:173 , A5:52 , height_photoresistor:11, ultrasonic:-9.77

A1:379 , A2:277 , A3:281 , A4:173 , A5:52 , height_photoresistor:11, ultrasonic:-10.06

A1:377 , A2:276 , A3:281 , A4:173 , A5:51 , height_photoresistor:11, ultrasonic:-9.66

A1:379 , A2:277 , A3:281 , A4:172 , A5:53 , height_photoresistor:11, ultrasonic:-9.20

A1:378 , A2:277 , A3:281 , A4:173 , A5:52 , height_photoresistor:11, ultrasonic:-10.06

A1:375 , A2:275 , A3:281 , A4:172 , A5:52 , height_photoresistor:11, ultrasonic:-8.93

A1:374 , A2:274 , A3:279 , A4:169 , A5:52 , height_photoresistor:11, ultrasonic:-9.82

A1:372 , A2:274 , A3:277 , A4:169 , A5:50 , height_photoresistor:11, ultrasonic:-10.06

A1:371 , A2:274 , A3:277 , A4:169 , A5:51 , height_photoresistor:11, ultrasonic:-9.63

A1:370 , A2:273 , A3:276 , A4:168 , A5:50 , height_photoresistor:11, ultrasonic:-8.79

