A1:349 , A2:315 , A3:325 , A4:217 , A5:117 , height_photoresistor:7, ultrasonic:-0.97
A1:351 , A2:315 , A3:323 , A4:217 , A5:115 , height_photoresistor:7, ultrasonic:-1.11
A1:351 , A2:315 , A3:325 , A4:217 , A5:117 , height_photoresistor:7, ultrasonic:-1.00
A1:350 , A2:315 , A3:325 , A4:217 , A5:116 , height_photoresistor:7, ultrasonic:-1.11
A1:350 , A2:315 , A3:324 , A4:218 , A5:116 , height_photoresistor:7, ultrasonic:-1.00
A1:353 , A2:315 , A3:325 , A4:218 , A5:116 , height_photoresistor:7, ultrasonic:-1.07
A1:351 , A2:315 , A3:325 , A4:217 , A5:117 , height_photoresistor:7, ultrasonic:-1.00
A1:351 , A2:316 , A3:324 , A4:216 , A5:116 , height_photoresistor:7, ultrasonic:-1.12
A1:351 , A2:315 , A3:326 , A4:218 , A5:117 , height_photoresistor:7, ultrasonic:-1.02
A1:350 , A2:315 , A3:324 , A4:217 , A5:116 , height_photoresistor:7, ultrasonic:-0.66
A1:351 , A2:315 , A3:325 , A4:217 , A5:116 , height_photoresistor:7, ultrasonic:-1.11
A1:350 , A2:316 , A3:325 , A4:218 , A5:117 , height_photoresistor:7, ultrasonic:-1.07
A1:350 , A2:316 , A3:325 , A4:217 , A5:117 , height_photoresistor:7, ultrasonic:-0.64
A1:351 , A2:315 , A3:324 , A4:218 , A5:117 , height_photoresistor:7, ultrasonic:-1.11
A1:351 , A2:316 , A3:326 , A4:218 , A5:117 , height_photoresistor:7, ultrasonic:-1.07
A1:350 , A2:314 , A3:324 , A4:217 , A5:116 , height_photoresistor:7, ultrasonic:-0.99
A1:351 , A2:315 , A3:325 , A4:217 , A5:117 , height_photoresistor:7, ultrasonic:-1.11
A1:351 , A2:315 , A3:326 , A4:218 , A5:118 , height_photoresistor:7, ultrasonic:-0.54
A1:349 , A2:315 , A3:324 , A4:218 , A5:117 , height_photoresistor:7, ultrasonic:-0.66
A1:351 , A2:316 , A3:325 , A4:218 , A5:117 , height_photoresistor:7, ultrasonic:-0.51
A1:350 , A2:316 , A3:325 , A4:218 , A5:117 , height_photoresistor:7, ultrasonic:-1.11
A1:351 , A2:314 , A3:324 , A4:217 , A5:117 , height_photoresistor:7, ultrasonic:-0.54
A1:352 , A2:316 , A3:326 , A4:217 , A5:117 , height_photoresistor:7, ultrasonic:-1.07
A1:351 , A2:316 , A3:324 , A4:218 , A5:117 , height_photoresistor:7, ultrasonic:-0.99
A1:350 , A2:316 , A3:323 , A4:217 , A5:117 , height_photoresistor:7, ultrasonic:-0.64
A1:353 , A2:317 , A3:326 , A4:217 , A5:117 , height_photoresistor:7, ultrasonic:-0.54
A1:351 , A2:316 , A3:325 , A4:218 , A5:118 , height_photoresistor:7, ultrasonic:-1.11
A1:351 , A2:316 , A3:324 , A4:218 , A5:116 , height_photoresistor:7, ultrasonic:-0.61
A1:351 , A2:316 , A3:325 , A4:219 , A5:117 , height_photoresistor:7, ultrasonic:-0.64
A1:350 , A2:315 , A3:324 , A4:217 , A5:118 , height_photoresistor:7, ultrasonic:-0.64
A1:351 , A2:315 , A3:324 , A4:217 , A5:116 , height_photoresistor:7, ultrasonic:-0.64
A1:351 , A2:316 , A3:325 , A4:218 , A5:115 , height_photoresistor:7, ultrasonic:-0.64
A1:349 , A2:315 , A3:324 , A4:217 , A5:117 , height_photoresistor:7, ultrasonic:-0.61
A1:351 , A2:314 , A3:324 , A4:217 , A5:118 , height_photoresistor:7, ultrasonic:-0.64
A1:350 , A2:316 , A3:325 , A4:218 , A5:117 , height_photoresistor:7, ultrasonic:-0.64
A1:349 , A2:315 , A3:324 , A4:217 , A5:116 , height_photoresistor:7, ultrasonic:-1.11
A1:351 , A2:316 , A3:325 , A4:218 , A5:116 , height_photoresistor:7, ultrasonic:-0.64
A1:350 , A2:315 , A3:325 , A4:218 , A5:117 , height_photoresistor:7, ultrasonic:-0.64
A1:350 , A2:316 , A3:325 , A4:219 , A5:118 , height_photoresistor:7, ultrasonic:-0.64
A1:351 , A2:316 , A3:324 , A4:217 , A5:120 , height_photoresistor:7, ultrasonic:-0.64
A1:349 , A2:316 , A3:325 , A4:218 , A5:116 , height_photoresistor:7, ultrasonic:-1.07
A1:350 , A2:315 , A3:324 , A4:217 , A5:116 , height_photoresistor:7, ultrasonic:-0.66
A1:350 , A2:316 , A3:325 , A4:217 , A5:117 , height_photoresistor:7, ultrasonic:-0.99
A1:349 , A2:315 , A3:325 , A4:217 , A5:117 , height_photoresistor:7, ultrasonic:-1.07
A1:349 , A2:315 , A3:324 , A4:217 , A5:116 , height_photoresistor:7, ultrasonic:-0.99
A1:351 , A2:315 , A3:324 , A4:218 , A5:117 , height_photoresistor:7, ultrasonic:-0.64
A1:349 , A2:315 , A3:325 , A4:217 , A5:116 , height_photoresistor:7, ultrasonic:-0.97
A1:350 , A2:316 , A3:324 , A4:216 , A5:116 , height_photoresistor:7, ultrasonic:-0.64
A1:350 , A2:315 , A3:325 , A4:217 , A5:117 , height_photoresistor:7, ultrasonic:-0.51
A1:349 , A2:315 , A3:324 , A4:217 , A5:117 , height_photoresistor:7, ultrasonic:-0.64
A1:349 , A2:314 , A3:324 , A4:217 , A5:117 , height_photoresistor:7, ultrasonic:-0.64
A1:349 , A2:315 , A3:325 , A4:217 , A5:116 , height_photoresistor:7, ultrasonic:-0.61
A1:349 , A2:315 , A3:324 , A4:217 , A5:116 , height_photoresistor:7, ultrasonic:-1.09
A1:351 , A2:316 , A3:324 , A4:217 , A5:117 , height_photoresistor:7, ultrasonic:-0.64
A1:350 , A2:315 , A3:324 , A4:218 , A5:117 , height_photoresistor:7, ultrasonic:-0.64
A1:350 , A2:315 , A3:323 , A4:217 , A5:117 , height_photoresistor:7, ultrasonic:-0.64
A1:351 , A2:316 , A3:325 , A4:216 , A5:117 , height_photoresistor:7, ultrasonic:-0.63
A1:348 , A2:314 , A3:322 , A4:214 , A5:116 , height_photoresistor:7, ultrasonic:-0.66
A1:345 , A2:307 , A3:312 , A4:205 , A5:114 , height_photoresistor:7, ultrasonic:-0.64
A1:340 , A2:294 , A3:290 , A4:186 , A5:113 , height_photoresistor:7, ultrasonic:-0.99
A1:336 , A2:275 , A3:274 , A4:181 , A5:112 , height_photoresistor:7, ultrasonic:-0.64
A1:336 , A2:265 , A3:263 , A4:179 , A5:111 , height_photoresistor:7, ultrasonic:-0.95
A1:333 , A2:257 , A3:257 , A4:177 , A5:111 , height_photoresistor:7, ultrasonic:-5.41
A1:328 , A2:243 , A3:242 , A4:172 , A5:101 , height_photoresistor:7, ultrasonic:1.55
A1:329 , A2:237 , A3:236 , A4:160 , A5:97 , height_photoresistor:7, ultrasonic:11.07
A1:328 , A2:229 , A3:236 , A4:161 , A5:91 , height_photoresistor:7, ultrasonic:2.46
A1:321 , A2:229 , A3:235 , A4:161 , A5:92 , height_photoresistor:7, ultrasonic:-5.39
A1:298 , A2:225 , A3:237 , A4:166 , A5:90 , height_photoresistor:7, ultrasonic:2.32
A1:282 , A2:222 , A3:234 , A4:166 , A5:89 , height_photoresistor:7, ultrasonic:2.17
A1:274 , A2:216 , A3:236 , A4:163 , A5:90 , height_photoresistor:7, ultrasonic:1.38
A1:272 , A2:216 , A3:228 , A4:158 , A5:89 , height_photoresistor:7, ultrasonic:7.45
A1:268 , A2:217 , A3:228 , A4:159 , A5:88 , height_photoresistor:7, ultrasonic:1.35
A1:265 , A2:215 , A3:221 , A4:156 , A5:87 , height_photoresistor:7, ultrasonic:4.00
A1:268 , A2:213 , A3:228 , A4:148 , A5:88 , height_photoresistor:7, ultrasonic:3.25
A1:264 , A2:212 , A3:229 , A4:152 , A5:88 , height_photoresistor:7, ultrasonic:9.89
A1:269 , A2:223 , A3:246 , A4:151 , A5:88 , height_photoresistor:7, ultrasonic:8.45
A1:286 , A2:250 , A3:259 , A4:158 , A5:89 , height_photoresistor:7, ultrasonic:10.74
A1:305 , A2:278 , A3:289 , A4:176 , A5:88 , height_photoresistor:7, ultrasonic:4.06
A1:318 , A2:276 , A3:287 , A4:182 , A5:88 , height_photoresistor:7, ultrasonic:5.34
A1:343 , A2:308 , A3:317 , A4:204 , A5:88 , height_photoresistor:7, ultrasonic:4.47
A1:350 , A2:313 , A3:321 , A4:208 , A5:88 , height_photoresistor:7, ultrasonic:5.29
A1:349 , A2:313 , A3:322 , A4:209 , A5:89 , height_photoresistor:7, ultrasonic:4.88
A1:350 , A2:315 , A3:321 , A4:209 , A5:88 , height_photoresistor:7, ultrasonic:4.88
A1:352 , A2:315 , A3:323 , A4:210 , A5:89 , height_photoresistor:7, ultrasonic:5.29
A1:350 , A2:314 , A3:322 , A4:209 , A5:88 , height_photoresistor:7, ultrasonic:4.76
A1:353 , A2:314 , A3:322 , A4:209 , A5:90 , height_photoresistor:7, ultrasonic:4.88
A1:352 , A2:315 , A3:323 , A4:210 , A5:83 , height_photoresistor:7, ultrasonic:5.32
A1:350 , A2:314 , A3:322 , A4:209 , A5:88 , height_photoresistor:7, ultrasonic:5.29
A1:350 , A2:314 , A3:322 , A4:212 , A5:89 , height_photoresistor:7, ultrasonic:4.88
A1:350 , A2:314 , A3:322 , A4:210 , A5:89 , height_photoresistor:7, ultrasonic:4.88
A1:350 , A2:314 , A3:322 , A4:209 , A5:90 , height_photoresistor:7, ultrasonic:5.32
A1:350 , A2:315 , A3:323 , A4:210 , A5:88 , height_photoresistor:7, ultrasonic:5.29
A1:349 , A2:314 , A3:321 , A4:209 , A5:88 , height_photoresistor:7, ultrasonic:4.88
A1:351 , A2:315 , A3:323 , A4:209 , A5:89 , height_photoresistor:7, ultrasonic:4.88
